 StandStillMasonAction, FastWanderMasonAction, GoToGoalMasonAction, SlowWanderMasonAction, IdleMasonAction
,52,,43,5
,56,,43,1
,56,,43,1
,56,,43,1
,56,,43,1
,56,,43,1
,56,,43,1
,56,,43,1
,56,,43,1
,56,,43,1
,56,,43,1
,4,,43,53
,29,,65,6
,32,,66,2
,32,,66,2
,32,,66,2
,32,,66,2
,32,,66,2
,32,,66,2
,32,,66,2
,32,,66,2
,32,,23,45
,54,,44,2
,25,,44,31
,34,,59,7
,37,,61,2
,37,,61,2
,37,,61,2
,37,,61,2
,37,,61,2
,37,,61,2
,37,,61,2
,37,,61,2
,15,,39,46
,41,,55,4
,31,,55,14
,37,,58,5
,37,,61,2
,37,,61,2
,37,,61,2
,37,,61,2
,37,,61,2
,37,,61,2
,37,,40,23
,49,,48,3
,24,,33,43
,48,,46,6
,40,,48,12
,48,,50,2
,48,,50,2
,48,,50,2
,48,,50,2
,48,,50,2
,48,,50,2
,48,,50,2
,36,,33,31
,54,,43,3
,29,,40,31
,44,,50,6
,37,,53,10
,42,,56,2
,42,,56,2
,42,,56,2
,42,,56,2
,42,,56,2
,42,,48,10
,46,,52,2
,27,,37,36
,40,,55,5
,26,,54,20
,33,,63,4
,29,,64,7
,32,,66,2
,32,,66,2
,32,,66,2
,32,,66,2
,32,,66,2
,28,,56,16
,32,2,64,2
,18,2,51,29
,30,5,58,7
,23,7,57,13
,28,7,62,3
,25,7,63,5
,25,7,66,2
,25,7,66,2
,25,7,66,2
,25,7,62,6
,27,8,63,2
,23,8,43,26
,30,19,48,3
,17,19,39,25
,31,26,39,4
,27,26,37,10
,28,29,41,2
,28,29,41,2
,28,29,41,2
,28,29,41,2
,28,29,41,2
,26,29,33,12
,29,32,37,2
,22,32,27,19
,27,39,29,5
,13,41,24,22
,19,49,27,5
,19,50,25,6
1,19,52,26,2
1,19,52,26,2
1,19,52,26,2
1,19,52,25,3
1,19,52,26,2
1,16,52,20,11
1,17,56,24,2
,11,55,23,11
,15,57,24,4
,7,57,21,15
,10,64,22,4
,10,64,23,3
,10,64,23,3
,10,64,23,3
,10,64,23,3
,10,64,19,7
,10,67,19,4
,9,68,15,8
,10,72,15,3
,5,71,11,13
,5,76,14,5
,1,76,14,9
,2,77,17,4
,2,77,17,4
,2,77,17,4
,2,77,16,5
,2,78,16,4
,2,77,12,9
,3,80,12,5
,2,80,11,7
,2,81,11,6
,2,81,10,7
,2,82,9,7
,1,82,9,8
,2,82,9,7
,2,81,9,8
,2,81,9,8
,2,81,9,8
,2,81,9,8
,1,81,9,9
,1,82,9,8
,1,80,5,14
,2,81,5,12
,2,81,2,15
,2,84,2,12
,1,82,2,15
,1,81,3,15
,1,80,3,16
,1,80,3,16
,1,80,3,16
,1,79,3,17
,1,76,2,21
,1,76,3,20
,,75,3,22
,,73,3,24
,,70,3,27
,,69,3,28
,,67,3,30
,,66,3,31
,,66,3,31
,,64,3,33
,,62,3,35
,,62,3,35
,,62,2,36
,,61,2,37
,,57,2,41
,,57,2,41
,,53,1,46
,,53,1,46
,,51,1,48
,,50,1,49
,,48,1,51
,,47,1,52
,,45,,55
,,43,,57
,,43,,57
,,42,,58
,,41,,59
,,39,,61
,,38,,62
,,37,,63
,,34,,66
,,34,,66
,,33,,67
,,32,,68
,,32,,68
,,29,,71
,,28,,72
,,27,,73
,,26,,74
,,26,,74
,,26,,74
,,26,,74
,,24,,76
,,23,,77
,,22,,78
,,22,,78
,,21,,79
,,21,,79
,,20,,80
,,20,,80
,,19,,81
,,19,,81
,,19,,81
,,19,,81
,,18,,82
,,17,,83
,,17,,83
,,16,,84
,,16,,84
,,15,,85
