 FastWanderMasonAction, GoToGoalMasonAction, SlowWanderMasonAction, IdleMasonAction
44,29,24,3
44,30,25,1
44,30,25,1
44,30,25,1
44,30,25,1
44,30,25,1
44,30,25,1
44,30,25,1
44,30,25,1
44,30,25,1
44,30,25,1
,30,25,45
20,40,39,1
20,40,39,1
20,40,39,1
20,40,39,1
20,40,39,1
20,40,39,1
20,40,39,1
20,40,39,1
20,40,39,1
20,40,15,25
28,48,22,2
9,48,22,21
17,55,27,1
17,55,27,1
17,55,27,1
17,55,27,1
17,55,27,1
17,55,27,1
17,55,27,1
17,55,27,1
17,55,27,1
9,55,13,23
14,60,24,2
6,61,24,9
10,63,26,1
10,63,26,1
10,63,26,1
10,63,26,1
10,63,26,1
10,63,26,1
10,63,26,1
10,63,18,9
12,68,19,1
6,68,14,12
9,74,16,1
5,74,16,5
5,75,19,1
5,75,19,1
5,75,19,1
5,75,19,1
5,75,19,1
5,75,19,1
5,75,19,1
3,75,8,14
6,78,15,1
3,78,13,6
5,79,15,1
5,79,15,1
5,79,15,1
5,79,15,1
5,79,15,1
5,79,15,1
5,79,15,1
5,79,14,2
6,79,14,1
3,50,12,35
3,50,15,32
1,50,12,37
2,54,12,32
2,54,12,32
2,52,12,34
2,52,12,34
2,52,12,34
2,51,12,35
2,50,12,36
1,49,5,45
1,55,5,39
1,55,3,41
1,56,3,40
,56,3,41
,57,3,40
,56,3,41
,55,3,42
,55,3,42
,53,3,44
,53,3,44
,52,3,45
,51,,49
2,49,1,48
2,47,1,50
2,44,1,53
2,42,1,55
2,41,1,56
2,41,1,56
2,40,1,57
2,39,1,58
2,38,1,59
2,38,1,59
2,36,1,61
,36,1,63
1,37,1,61
1,36,1,62
1,36,1,62
1,35,1,63
1,35,1,63
1,34,1,64
1,32,1,66
1,31,1,67
1,29,1,69
1,28,,71
1,29,,70
,27,,73
,26,,74
,26,,74
,25,,75
,24,,76
,24,,76
,24,,76
,23,,77
,23,,77
,22,,78
,22,,78
,21,,79
,21,,79
,21,,79
,20,,80
,18,,82
,18,,82
,18,,82
,18,,82
,17,,83
,17,,83
,17,,83
,17,,83
,17,,83
,17,,83
,17,,83
,17,,83
,17,,83
,15,,85
,14,,86
,13,,87
,12,,88
,12,,88
,12,,88
,12,,88
,11,,89
,11,,89
,11,,89
,11,,89
,10,,90
,10,,90
,9,,91
,9,,91
,9,,91
,8,,92
,7,,93
,5,,95
,5,,95
,5,,95
,4,,96
,4,,96
,4,,96
,4,,96
,3,,97
,3,,97
,3,,97
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,1,,99
,1,,99
,1,,99
,1,,99
,1,,99
,1,,99
,1,,99
,1,,99
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
