 StandStillMasonAction, FastWanderMasonAction, SlowWanderMasonAction, IdleMasonAction
,,93,7
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,5,95
,,83,17
,,95,5
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,15,85
,,76,24
,,92,8
,,97,3
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,25,75
,,75,25
,,93,7
,,97,3
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,29,71
,,69,31
,,91,9
,,96,4
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,98,2
,,35,65
,18,50,32
,32,60,8
,36,60,4
,36,62,2
,36,62,2
,36,62,2
,36,62,2
,36,62,2
,36,62,2
,36,62,2
,36,62,2
,18,62,20
,9,75,16
,10,83,7
,11,87,2
,11,87,2
,11,87,2
,11,87,2
,11,87,2
,11,87,2
,11,87,2
,11,45,44
,39,43,18
,45,45,10
,44,47,9
,46,51,3
,47,51,2
,47,51,2
,47,51,2
,47,51,2
,47,51,2
,47,51,2
,47,51,2
,19,38,43
,34,44,22
,38,52,10
,41,54,5
,42,55,3
,43,55,2
,43,55,2
,43,55,2
,43,55,2
,43,55,2
,43,41,16
,50,44,6
,27,41,32
,35,49,16
,39,53,8
,39,57,4
,39,58,3
,40,58,2
,40,58,2
,40,58,2
,40,58,2
,40,58,2
,33,44,23
,43,39,18
,36,44,20
,34,50,16
1,40,53,6
1,42,54,3
1,42,54,3
1,42,55,2
1,42,55,2
1,42,55,2
1,42,48,9
,49,47,4
1,37,35,27
1,48,33,18
1,51,29,19
1,56,28,15
1,63,28,8
1,66,28,5
1,69,28,2
,69,28,3
1,69,28,2
1,69,28,2
1,62,21,16
2,65,14,19
2,47,7,44
2,36,4,58
2,23,3,72
1,13,3,83
1,9,2,88
1,6,2,91
,6,2,92
,6,2,92
,6,2,92
,6,2,92
,2,,98
,,,100
,,,100
