 SlowWanderMasonAction, IdleMasonAction
1,49
1,49
2,48
2,48
2,48
4,46
4,46
4,46
3,47
3,47
3,47
2,48
1,49
1,49
1,49
1,49
1,49
,50
,50
,50
,50
,50
,50
,50
,50
1,49
1,49
1,49
1,49
1,49
1,49
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
,50
