 GoToToiletMasonAction, StandStillMasonAction, SlowWanderMasonAction, FastWanderMasonAction, WaitForFriendMasonAction, IdleMasonAction
,,40,58,,2
,,41,58,,1
,,41,58,,1
,,41,58,,1
,,41,58,,1
,,41,58,,1
,,41,58,,1
,,41,58,,1
,,41,58,,1
,,41,58,,1
,,41,58,,1
,,41,,,59
,,71,27,,2
,,71,28,,1
,,71,28,,1
,,71,28,,1
,,71,28,,1
,,71,28,,1
,,71,28,,1
,,71,28,,1
,,71,28,,1
,,31,28,,41
,,54,43,,3
,,56,16,,28
,,69,29,,2
,,70,29,,1
,,70,29,,1
,,70,29,,1
,,70,29,,1
,,70,29,,1
,,70,29,,1
,,70,29,,1
,,70,29,,1
,,40,14,,46
,,59,38,,3
,,60,24,,16
1,,65,33,1,
1,,65,33,1,
1,,65,33,1,
1,,65,33,1,
1,,65,33,1,
1,,65,33,1,
1,,65,33,1,
1,,41,33,,25
1,,51,44,,4
1,,40,21,,38
1,,60,38,,1
1,,60,30,,9
1,,63,36,,
1,,63,36,,
1,,63,36,,
1,,63,36,,
1,,63,36,,
1,,63,36,,
1,,63,36,,
1,,44,25,,30
1,,59,38,,2
1,,56,21,,22
1,,63,34,,2
1,,63,30,,6
1,,67,32,,
1,,67,32,,
1,,67,32,,
1,,67,32,,
1,,67,32,,
1,,55,32,,12
1,,58,39,,2
1,,38,27,,34
1,,53,46,,
1,,50,32,,17
1,,57,38,,4
1,,57,39,,3
1,,59,40,,
1,,59,40,,
1,,59,40,,
1,,59,40,,
1,,59,40,,
1,,43,33,,23
1,,52,43,,4
1,,47,26,,26
1,,60,38,,1
1,,56,31,,12
1,,64,31,,4
1,,67,31,,1
1,,67,32,,
1,,67,32,,
1,,67,32,,
1,,62,32,,5
1,,65,34,,
1,,50,22,,27
1,,61,34,,4
1,,55,25,,19
1,,63,35,,1
1,,61,33,,5
,,62,37,,1
,,62,37,,1
,,63,37,,
,,63,37,,
,,63,37,,
,,52,35,,13
,,57,41,,2
,,45,28,,27
,,59,36,,5
,,54,26,,20
,,58,36,,6
,,58,36,,6
,,58,40,,2
,,58,41,,1
,,58,41,,1
,,54,41,,5
,,56,43,,1
,,45,37,,18
,,49,46,,5
,,43,37,,20
,,52,46,,2
,,51,36,,13
,,55,38,,7
,,56,37,,7
,,58,39,,3
1,,58,40,1,
1,,58,40,1,
1,,51,38,1,9
1,,56,41,1,1
1,,42,32,1,24
1,,46,47,1,5
1,,42,39,1,17
1,,54,43,,2
1,,55,36,,8
1,,58,36,,5
1,,60,35,,4
1,,62,36,,1
1,,60,37,,2
1,,61,38,,
1,,56,35,,8
1,,58,38,,3
1,,51,22,,26
1,,67,30,,2
1,,63,27,,9
1,,68,29,,2
1,,66,27,,6
1,,68,29,,2
1,,68,29,,2
1,,70,28,,1
1,,65,27,,7
1,,69,30,,
1,,62,27,,10
1,,63,32,,4
1,,51,26,,22
1,,61,34,,4
1,,59,35,,5
1,,59,36,,4
1,,58,35,,6
1,,60,37,,2
1,,59,39,,1
1,,59,40,,
1,,55,37,,7
1,,57,39,,3
1,,42,34,,23
1,,51,42,,6
1,,46,35,,18
1,1,53,41,,4
1,1,53,39,,6
1,1,54,38,,6
,1,54,38,,7
,1,54,41,,4
,1,52,41,,6
,1,55,43,,1
,,51,40,,9
,1,55,41,,3
,1,44,31,,24
,1,52,39,,8
,1,53,32,,14
,1,59,36,,4
,1,58,34,,7
,1,59,33,,7
,,62,30,,8
,,62,35,,3
,,58,34,,8
,,58,38,,4
,,49,38,,13
,,47,43,,10
,,40,40,,20
,,38,54,,8
,,37,53,,10
,,35,58,,7
,,34,57,,9
,,32,60,,8
,,29,57,,14
,,29,64,,7
,,25,61,,14
,,25,59,,16
,,16,52,,32
,,13,44,,43
,,6,28,,66
,,5,24,,71
,,4,19,,77
1,,1,17,,81
1,,1,12,,86
1,,1,9,1,88
1,,,1,1,97
1,,,,1,98
1,,,,1,98
