 FastWanderMasonAction, GoToGoalMasonAction, IdleMasonAction, SlowWanderMasonAction
36,,1,63
36,,,64
36,,,64
36,,,64
36,,,64
36,,,64
36,,,64
36,,,64
36,,,64
36,,,64
36,,,64
,,36,64
15,,1,84
15,,1,84
15,,1,84
15,,1,84
15,,1,84
15,,1,84
15,,1,84
15,,1,84
15,,1,84
15,,64,21
49,,5,46
35,,17,48
39,,2,59
39,,2,59
39,,2,59
39,,2,59
39,,2,59
39,,2,59
39,,2,59
39,,2,59
39,,2,59
5,,56,39
28,,4,68
24,,7,69
25,,2,73
25,,2,73
25,,2,73
25,,2,73
25,,2,73
25,,2,73
25,,2,73
25,,28,47
37,,4,59
13,,37,50
32,,3,65
31,,3,66
31,,2,67
31,,2,67
31,,2,67
31,,2,67
31,,2,67
31,,2,67
31,,2,67
19,,43,38
38,1,4,57
20,1,25,54
34,1,3,62
35,1,2,62
35,1,2,62
35,1,2,62
35,1,2,62
35,1,2,62
35,1,2,62
35,1,16,48
38,2,4,56
20,2,36,42
31,4,5,60
18,4,17,61
24,4,3,69
25,4,2,69
25,4,2,69
25,4,2,69
25,4,2,69
25,4,2,69
25,4,2,69
22,4,25,49
31,7,4,58
20,8,22,50
28,11,3,58
22,11,9,58
27,11,3,59
27,11,2,60
27,11,2,60
27,11,2,60
27,11,2,60
27,11,12,50
31,14,3,52
22,14,31,33
33,22,6,39
26,24,19,31
37,27,3,33
31,28,8,33
33,31,3,33
33,32,2,33
33,32,2,33
33,32,2,33
33,32,2,33
29,32,16,23
34,36,3,27
23,36,22,19
29,46,4,21
19,46,15,20
21,56,3,20
19,57,4,20
19,59,2,20
19,59,2,20
19,59,2,20
19,59,5,17
19,62,2,17
13,62,16,9
14,74,3,9
6,75,12,7
4,84,4,8
2,86,4,8
2,88,2,8
2,88,2,8
2,88,2,8
2,88,2,8
2,88,2,8
2,88,6,4
2,91,3,4
,91,7,2
,95,3,2
,95,4,1
,96,3,1
,96,3,1
,96,3,1
,96,3,1
,94,5,1
,93,6,1
,92,7,1
,91,8,1
,90,9,1
,90,10,
,89,11,
,88,12,
,87,13,
,87,13,
,87,13,
,86,14,
,85,15,
,84,16,
,82,18,
,81,19,
,81,19,
,78,22,
,78,22,
,78,22,
,78,22,
,75,25,
,74,26,
,72,28,
,71,29,
,70,30,
,69,31,
,68,32,
,66,34,
,65,35,
,64,36,
,60,40,
,60,40,
,58,42,
,57,43,
,57,43,
,55,45,
,53,47,
,51,49,
,51,49,
,50,50,
,48,52,
,46,54,
,44,56,
,42,58,
,42,58,
,37,63,
,34,66,
,33,67,
,31,69,
,30,70,
,27,73,
,25,75,
,23,77,
,23,77,
,22,78,
,21,79,
,21,79,
,19,81,
,19,81,
,19,81,
,18,82,
,17,83,
,14,86,
,11,89,
,11,89,
,11,89,
,10,90,
,10,90,
,10,90,
,10,90,
,10,90,
,9,91,
,9,91,
,8,92,
,8,92,
,8,92,
,8,92,
,8,92,
,7,93,
,7,93,
,7,93,
,7,93,
,6,94,
,6,94,
,6,94,
,6,94,
,5,95,
,5,95,
,5,95,
,4,96,
,3,97,
,3,97,
,3,97,
,3,97,
,3,97,
,3,97,
,2,98,
,2,98,
,2,98,
,2,98,
,2,98,
,2,98,
,2,98,
,2,98,
,1,99,
,1,99,
,1,99,
,1,99,
,1,99,
,1,99,
,1,99,
,1,99,
,1,99,
,1,99,
,,100,
,,100,
,,100,
,,100,
,,100,
,,100,
,,100,
,,100,
,,100,
,,100,
,,100,
,,100,
,,100,
,,100,
,,100,
,,100,
